date,market_id,metric_name,wow_change_pct,direction,rolling_7d_value
2024-10-20,IN,loyalty_driven_purchases,34.45,increase,142417.3354
2024-10-20,IN,offer_cost,31.33,increase,168401.1154
2024-10-20,IN,offer_ctr,31.1,increase,0.0367
2024-10-20,IN,offer_driven_revenue,30.99,increase,623774.7978
2024-10-20,IN,offer_funnel_conversion,31.12,increase,0.0046
2024-10-20,IN,offer_impression_count,31.56,increase,794801.2118
2024-10-20,IN,offer_redemption_count,30.73,increase,32943.6695
2024-10-20,IN,offer_redemption_rate,39.34,increase,0.1695
2024-10-20,IN,offer_roi,31.35,increase,5.1431
2024-10-20,IN,play_points_balance_avg,31.42,increase,1347.9097
2024-10-20,IN,play_points_burn_rate,183.91,increase,119.5115
2024-10-20,IN,play_points_earn_rate,174.49,increase,163.9466
2024-10-21,IN,loyalty_driven_purchases,29.74,increase,144114.1769
2024-10-21,IN,offer_cost,25.9,increase,169184.7264
2024-10-21,IN,offer_ctr,25.57,increase,0.0369
2024-10-21,IN,offer_driven_revenue,25.78,increase,626742.6663
2024-10-21,IN,offer_funnel_conversion,25.62,increase,0.0046
2024-10-21,IN,offer_impression_count,25.9,increase,797764.733
2024-10-21,IN,offer_redemption_count,25.28,increase,33079.6339
2024-10-21,IN,offer_redemption_rate,36.31,increase,0.1736
2024-10-21,IN,offer_roi,25.96,increase,5.1652
2024-10-21,IN,play_points_balance_avg,25.74,increase,1351.9986
2024-10-21,IN,play_points_burn_rate,220.23,increase,141.2097
2024-10-21,IN,play_points_earn_rate,208.18,increase,192.809
2024-10-22,IN,loyalty_driven_purchases,24.55,increase,145282.2386
2024-10-22,IN,offer_cost,19.85,increase,169188.6657
2024-10-22,IN,offer_ctr,19.51,increase,0.0369
2024-10-22,IN,offer_driven_revenue,19.54,increase,626539.971
2024-10-22,IN,offer_funnel_conversion,19.47,increase,0.0046
2024-10-22,IN,offer_impression_count,19.94,increase,798191.3907
2024-10-22,IN,offer_redemption_count,19.35,increase,33090.6006
2024-10-22,IN,offer_redemption_rate,32.15,increase,0.1768
2024-10-22,IN,offer_roi,19.93,increase,5.1684
2024-10-22,IN,play_points_balance_avg,19.65,increase,1351.9382
2024-10-22,IN,play_points_burn_rate,251.08,increase,162.6139
2024-10-22,IN,play_points_earn_rate,236.83,increase,221.4736
2024-10-23,IN,loyalty_driven_purchases,19.33,increase,146243.5941
2024-10-23,IN,offer_cost,14.14,increase,169179.7517
2024-10-23,IN,offer_ctr,14.04,increase,0.0369
2024-10-23,IN,offer_driven_revenue,14.06,increase,626623.6679
2024-10-23,IN,offer_funnel_conversion,14.19,increase,0.0046
2024-10-23,IN,offer_impression_count,14.28,increase,798566.8747
2024-10-23,IN,offer_redemption_count,14.27,increase,33144.4931
2024-10-23,IN,offer_redemption_rate,27.55,increase,0.1796
2024-10-23,IN,offer_roi,14.46,increase,5.1703
2024-10-23,IN,play_points_balance_avg,14.17,increase,1352.0514
2024-10-23,IN,play_points_burn_rate,239.92,increase,179.7883
2024-10-23,IN,play_points_earn_rate,227.54,increase,244.3446
2024-10-24,IN,loyalty_driven_purchases,14.55,increase,147109.1594
2024-10-24,IN,offer_redemption_rate,22.21,increase,0.1816
2024-10-24,IN,play_points_burn_rate,202.46,increase,192.6782
2024-10-24,IN,play_points_earn_rate,193.2,increase,261.5191
2024-10-25,IN,offer_redemption_rate,17.07,increase,0.183
2024-10-25,IN,play_points_burn_rate,156.02,increase,201.2513
2024-10-25,IN,play_points_earn_rate,149.74,increase,272.8759
2024-10-26,IN,offer_redemption_rate,12.19,increase,0.1837
2024-10-26,IN,play_points_burn_rate,111.19,increase,205.5443
2024-10-26,IN,play_points_earn_rate,107.57,increase,278.6662
2024-10-27,IN,play_points_burn_rate,72.04,increase,205.6094
2024-10-27,IN,play_points_earn_rate,70.02,increase,278.7438
2024-10-28,IN,play_points_burn_rate,45.59,increase,205.5815
2024-10-28,IN,play_points_earn_rate,44.63,increase,278.8599
2024-10-29,IN,play_points_burn_rate,26.46,increase,205.6414
2024-10-29,IN,play_points_earn_rate,25.91,increase,278.8622
2024-10-30,IN,play_points_burn_rate,14.36,increase,205.6059
2024-10-30,IN,play_points_earn_rate,14.13,increase,278.8587
2024-11-18,IN,play_points_burn_rate,-10.07,decrease,185.212
2024-11-19,IN,offer_redemption_rate,-10.47,decrease,0.1642
2024-11-19,IN,play_points_burn_rate,-17.02,decrease,170.9211
2024-11-19,IN,play_points_earn_rate,-16.82,decrease,232.3293
2024-11-20,IN,loyalty_driven_purchases,-12.67,decrease,129961.2031
2024-11-20,IN,offer_cost,-11.78,decrease,149859.5312
2024-11-20,IN,offer_ctr,-12.23,decrease,0.0323
2024-11-20,IN,offer_driven_revenue,-12.13,decrease,554630.9669
2024-11-20,IN,offer_funnel_conversion,-12.36,decrease,0.004
2024-11-20,IN,offer_impression_count,-12.05,decrease,710402.5526
2024-11-20,IN,offer_redemption_count,-11.82,decrease,29476.3368
2024-11-20,IN,offer_redemption_rate,-15.31,decrease,0.1552
2024-11-20,IN,offer_roi,-11.94,decrease,4.5478
2024-11-20,IN,play_points_balance_avg,-12.05,decrease,1197.6673
2024-11-20,IN,play_points_burn_rate,-25.56,decrease,153.3589
2024-11-20,IN,play_points_earn_rate,-25.27,decrease,208.7587
2024-11-21,IN,loyalty_driven_purchases,-17.14,decrease,123396.1428
2024-11-21,IN,offer_cost,-15.73,decrease,143176.0768
2024-11-21,IN,offer_ctr,-16.23,decrease,0.0308
2024-11-21,IN,offer_driven_revenue,-15.95,decrease,529931.7488
2024-11-21,IN,offer_funnel_conversion,-16.3,decrease,0.0038
2024-11-21,IN,offer_impression_count,-16.02,decrease,678345.892
2024-11-21,IN,offer_redemption_count,-15.72,decrease,28146.2685
2024-11-21,IN,offer_redemption_rate,-20.41,decrease,0.1458
2024-11-21,IN,offer_roi,-16.01,decrease,4.3397
2024-11-21,IN,play_points_balance_avg,-16.24,decrease,1141.7674
2024-11-21,IN,play_points_burn_rate,-35.51,decrease,132.8322
2024-11-21,IN,play_points_earn_rate,-35.21,decrease,181.0311
2024-11-22,IN,loyalty_driven_purchases,-21.65,decrease,116761.4331
2024-11-22,IN,offer_cost,-19.94,decrease,136218.6828
2024-11-22,IN,offer_ctr,-20.21,decrease,0.0293
2024-11-22,IN,offer_driven_revenue,-19.92,decrease,505225.8844
2024-11-22,IN,offer_funnel_conversion,-20.39,decrease,0.0036
2024-11-22,IN,offer_impression_count,-20.05,decrease,645697.7432
2024-11-22,IN,offer_redemption_count,-19.75,decrease,26813.5402
2024-11-22,IN,offer_redemption_rate,-25.79,decrease,0.136
2024-11-22,IN,offer_roi,-20.06,decrease,4.1323
2024-11-22,IN,play_points_balance_avg,-20.35,decrease,1086.8984
2024-11-22,IN,play_points_burn_rate,-46.99,decrease,109.1794
2024-11-22,IN,play_points_earn_rate,-46.61,decrease,149.2024
2024-11-23,IN,loyalty_driven_purchases,-25.51,decrease,110467.0012
2024-11-23,IN,offer_cost,-23.35,decrease,129880.5634
2024-11-23,IN,offer_ctr,-23.67,decrease,0.0279
2024-11-23,IN,offer_driven_revenue,-23.58,decrease,480525.4437
2024-11-23,IN,offer_funnel_conversion,-23.88,decrease,0.0035
2024-11-23,IN,offer_impression_count,-23.61,decrease,614690.0172
2024-11-23,IN,offer_redemption_count,-23.58,decrease,25465.9722
2024-11-23,IN,offer_redemption_rate,-30.27,decrease,0.1269
2024-11-23,IN,offer_roi,-23.53,decrease,3.9362
2024-11-23,IN,play_points_balance_avg,-23.81,decrease,1035.3855
2024-11-23,IN,play_points_burn_rate,-56.24,decrease,88.701
2024-11-23,IN,play_points_earn_rate,-55.8,decrease,121.6229
2024-11-24,IN,loyalty_driven_purchases,-27.6,decrease,105712.0594
2024-11-24,IN,offer_cost,-25.1,decrease,125178.8329
2024-11-24,IN,offer_ctr,-25.19,decrease,0.027
2024-11-24,IN,offer_driven_revenue,-25.2,decrease,463411.529
2024-11-24,IN,offer_funnel_conversion,-25.56,decrease,0.0033
2024-11-24,IN,offer_impression_count,-25.42,decrease,591819.6355
2024-11-24,IN,offer_redemption_count,-25.39,decrease,24519.7565
2024-11-24,IN,offer_redemption_rate,-32.69,decrease,0.1201
2024-11-24,IN,offer_roi,-25.32,decrease,3.7922
2024-11-24,IN,play_points_balance_avg,-25.29,decrease,1000.0508
2024-11-24,IN,play_points_burn_rate,-63.29,decrease,71.8606
2024-11-24,IN,play_points_earn_rate,-62.7,decrease,99.1205
2024-11-25,IN,loyalty_driven_purchases,-27.5,decrease,102943.4234
2024-11-25,IN,offer_cost,-24.56,decrease,122805.5059
2024-11-25,IN,offer_ctr,-24.63,decrease,0.0264
2024-11-25,IN,offer_driven_revenue,-24.66,decrease,454401.7755
2024-11-25,IN,offer_funnel_conversion,-24.77,decrease,0.0033
