id,name,type,start_date,end_date,target_markets,target_segments,target_categories,impact,ramp_up_days,decay_days,experiment_id,budget_usd,status
INIT_001,Diwali Play Points 3x Bonus,PLAY_POINTS_BONUS,2024-10-15,2024-11-15,"[""IN""]","[""ALL""]","[""ALL""]","{""play_points_earn_rate"": 200.0, ""play_points_burn_rate"": 150.0, ""offer_redemption_rate"": 0.15, ""loyalty_driven_purchases"": 8000}",5,7,,500000.0,COMPLETED
INIT_002,Global Holiday Gift Card Bonus,GIFT_CARD_BONUS,2024-12-01,2024-12-31,"[""ALL""]","[""ALL""]","[""SHO"", ""ENT""]","{""offer_driven_revenue"": 120000.0, ""offer_redemption_count"": 5000, ""offer_cost"": 25000.0}",3,10,,300000.0,COMPLETED
INIT_003,Win-back Campaign (Lapsed Users),RE_ENGAGEMENT,2024-11-01,2024-12-15,"[""US"", ""GB"", ""DE""]","[""LAP_30_90"", ""LAP_90""]","[""ALL""]","{""wau"": 500000, ""dau"": 200000, ""revenue_per_user"": -0.8, ""d30_retention"": -0.03}",7,14,EXP_WINBACK_2024Q4,750000.0,COMPLETED
INIT_004,Subscription Free Trial Push,SUBSCRIPTION_TRIAL,2024-09-01,2024-10-15,"[""US"", ""JP"", ""KR""]","[""ACT_HIGH"", ""ACT_MED""]","[""ENT"", ""GAM""]","{""subscription_conversion_rate"": 0.02}",14,21,EXP_SUBTRIAL_2024Q3,400000.0,COMPLETED
INIT_005,PAUSED Mid-flight Cashback Campaign,CASHBACK,2024-08-01,2024-08-20,"[""BR"", ""MX""]","[""ALL""]","[""SHO""]","{""offer_redemption_rate"": 0.08, ""offer_cost"": 40000.0}",3,0,,200000.0,COMPLETED
INIT_006,Japan Golden Week Games Promo,DEVELOPER_PROMO,2024-04-27,2024-05-07,"[""JP""]","[""ALL""]","[""GAM_CAS"", ""GAM_MID"", ""GAM_HRD"", ""GAM_RPG"", ""GAM_STR""]","{""sessions_per_user"": 2.5, ""avg_session_duration"": 5.0, ""dau"": 1500000}",2,5,,350000.0,COMPLETED
INIT_007,India Republic Day Offer Blitz,CASHBACK,2024-01-20,2024-02-05,"[""IN""]","[""ALL""]","[""ALL""]","{""offer_impression_count"": 80000, ""offer_ctr"": 0.04, ""offer_funnel_conversion"": 0.01}",3,7,,250000.0,COMPLETED
INIT_008,Play Points Tier Upgrade Event,LOYALTY_TIER_UP,2024-03-01,2024-03-31,"[""ALL""]","[""PP_ACTIVE"", ""PP_DORMANT""]","[""ALL""]","{""play_points_earn_rate"": 25.0, ""play_points_burn_rate"": 15.0, ""loyalty_driven_purchases"": 3000}",5,10,,180000.0,COMPLETED
INIT_009,US Back-to-School Bundle,BUNDLE_OFFER,2024-08-15,2024-09-15,"[""US""]","[""NEW_0_7"", ""NEW_8_30""]","[""EDU"", ""PRD""]","{""store_visit_to_install_rate"": 0.05, ""install_to_first_purchase_rate"": 0.008}",3,7,,150000.0,COMPLETED
INIT_010,Korea Chuseok Gaming Festival,DEVELOPER_PROMO,2024-09-14,2024-09-20,"[""KR""]","[""ALL""]","[""GAM_CAS"", ""GAM_MID"", ""GAM_HRD"", ""GAM_RPG"", ""GAM_STR""]","{""dau"": 800000, ""sessions_per_user"": 3.0, ""offer_redemption_count"": 2000}",2,4,,200000.0,COMPLETED
