movement_id,date_detected,metric_name,market_id,category_id,segment_id,magnitude_pct,direction,difficulty,ground_truth_attribution,active_confounders,is_data_artifact,ground_truth_narrative
MOV_D92C4AD58A,2026-01-26,revenue_per_user,PH,APP_EDU,ACT_FREE,24.38,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Revenue Per User in PH (APP_EDU, ACT_FREE) increased 24.4% WoW around 2026-01-26. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_7008D9EE08,2025-12-08,play_points_balance_avg,MX,GAM_MID,ACT_MED,6.78,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Play Points Balance Avg in MX (GAM_MID, ACT_MED) increased 6.8% WoW around 2025-12-08. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_E4D111BDAC,2025-03-17,sessions_per_user,TR,APP_PRD,ACT_HIGH,6.53,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Nigeria Mobile Payment Integration""]",False,"Sessions Per User in TR (APP_PRD, ACT_HIGH) increased 6.5% WoW around 2025-03-17. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_D4E7E59B50,2024-12-30,offer_redemption_count,KR,APP_EDU,ACT_HIGH,-16.77,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Redemption Count in KR (APP_EDU, ACT_HIGH) decreased 16.8% WoW around 2024-12-30. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_A654E5B349,2025-12-29,play_points_earn_rate,US,GAM_MID,ACT_HIGH,-27.43,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Play Points Earn Rate in US (GAM_MID, ACT_HIGH) decreased 27.4% WoW around 2025-12-29. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_5FBE6DD50B,2024-12-16,avg_time_to_redemption,EG,APP_HLT,ACT_MED,7.16,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Avg Time To Redemption in EG (APP_HLT, ACT_MED) increased 7.2% WoW around 2024-12-16. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_0EBB56D3BE,2025-12-29,offer_impression_count,RU,APP_TRV,ACT_MED,-18.09,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Offer Impression Count in RU (APP_TRV, ACT_MED) decreased 18.1% WoW around 2025-12-29. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_E8FEB942C7,2026-01-05,offer_driven_revenue,IN,APP_HLT,ACT_MED,-16.26,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Offer Driven Revenue in IN (APP_HLT, ACT_MED) decreased 16.3% WoW around 2026-01-05. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_EB81B4FBBC,2025-12-22,play_points_balance_avg,BR,APP_TRV,ACT_FREE,9.47,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Play Points Balance Avg in BR (APP_TRV, ACT_FREE) increased 9.5% WoW around 2025-12-22. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_27407A460E,2025-01-06,offer_driven_revenue,RU,APP_SOC,ACT_MED,-12.81,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Offer Driven Revenue in RU (APP_SOC, ACT_MED) decreased 12.8% WoW around 2025-01-06. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_CF286F0309,2024-12-16,dau,PH,APP_EDU,ACT_MED,6.83,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Dau in PH (APP_EDU, ACT_MED) increased 6.8% WoW around 2024-12-16. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_3B9A1B6775,2025-12-29,sessions_per_user,MX,GAM_MID,ACT_HIGH,-20.97,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Sessions Per User in MX (GAM_MID, ACT_HIGH) decreased 21.0% WoW around 2025-12-29. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_F6188F438A,2025-12-22,offer_impression_count,KR,APP_EDU,ACT_HIGH,7.65,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Offer Impression Count in KR (APP_EDU, ACT_HIGH) increased 7.6% WoW around 2025-12-22. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_7CEDC9B6C5,2025-02-10,play_points_earn_rate,BR,GAM_HC,ACT_FREE,17.76,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Nigeria Mobile Payment Integration""]",False,"Play Points Earn Rate in BR (GAM_HC, ACT_FREE) increased 17.8% WoW around 2025-02-10. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_98DADE9915,2024-12-16,revenue_per_user,US,APP_FIN,ACT_HIGH,15.31,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Revenue Per User in US (APP_FIN, ACT_HIGH) increased 15.3% WoW around 2024-12-16. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_A449E0339B,2026-01-26,offer_redemption_count,VN,APP_SOC,ACT_MED,18.79,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Offer Redemption Count in VN (APP_SOC, ACT_MED) increased 18.8% WoW around 2026-01-26. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_B298D9C374,2025-12-15,offer_ctr,MX,APP_EDU,ACT_FREE,9.77,increase,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Offer Ctr in MX (APP_EDU, ACT_FREE) increased 9.8% WoW around 2025-12-15. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_3D89B27174,2025-12-29,play_points_earn_rate,IN,GAM_HYP,ACT_HIGH,-27.16,decrease,MEDIUM,"[{""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.95}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]",[],False,"Play Points Earn Rate in IN (GAM_HYP, ACT_HIGH) decreased 27.2% WoW around 2025-12-29. Primary driver: Seasonal pattern (95%). Remaining 5% attributed to noise/organic trends."
MOV_D1ED718756,2024-12-23,install_to_first_purchase_rate,EG,APP_SOC,ACT_FREE,7.92,increase,HARD,"[{""cause"": ""Platform Policy Change"", ""type"": ""confounder"", ""contribution_pct"": 0.14}, {""cause"": ""Seasonal pattern"", ""type"": ""seasonal"", ""contribution_pct"": 0.82}, {""cause"": ""Noise/organic"", ""type"": ""residual"", ""contribution_pct"": 0.05}]","[""Platform Policy Change""]",False,"Install To First Purchase Rate in EG (APP_SOC, ACT_FREE) increased 7.9% WoW around 2024-12-23. Primary driver: Seasonal pattern (82%). Secondary factor: Platform Policy Change (14%). Remaining 5% attributed to noise/organic trends."
